"WineNight","WineType","Person","WineNumber","Rating"
"KR1","Pinot Grigio","Molly",7,6
"KR1","Pinot Grigio","Kevin",8,5
"KR1","Pinot Grigio","Amy",8,5.5
"KR1","Pinot Grigio","Chris",8,7.5
"KR1","Pinot Grigio","Rosemary",8,5
"KR1","Pinot Grigio","Andy",8,6
"KR1","Pinot Grigio","Jen",8,7.5
"KR1","Pinot Grigio","Ben",8,8
"KR1","Pinot Grigio","Molly",8,8.5
"B1","Sauvignon Blanc","Dan",1,6
"B1","Sauvignon Blanc","Susan",1,4
"B1","Sauvignon Blanc","Kevin",1,6
"B1","Sauvignon Blanc","Andy",1,5
"B1","Sauvignon Blanc","Jen",1,4
"B1","Sauvignon Blanc","Ben",1,7
"B1","Sauvignon Blanc","Chris",1,8
"B1","Sauvignon Blanc","Amy",1,4
"B1","Sauvignon Blanc","Rosemary",1,7
"B1","Sauvignon Blanc","Molly",1,5
"B1","Sauvignon Blanc","Dan",2,4
"B1","Sauvignon Blanc","Susan",2,7
"B1","Sauvignon Blanc","Kevin",2,3
"B1","Sauvignon Blanc","Andy",2,6
"B1","Sauvignon Blanc","Jen",2,6
"B1","Sauvignon Blanc","Ben",2,6
"B1","Sauvignon Blanc","Chris",2,6
"B1","Sauvignon Blanc","Amy",2,3
"B1","Sauvignon Blanc","Rosemary",2,5
"B1","Sauvignon Blanc","Molly",2,7
"B1","Sauvignon Blanc","Dan",3,6.5
"B1","Sauvignon Blanc","Susan",3,8.5
"B1","Sauvignon Blanc","Kevin",3,5
"B1","Sauvignon Blanc","Andy",3,5
"B1","Sauvignon Blanc","Jen",3,7
"B1","Sauvignon Blanc","Ben",3,7
"B1","Sauvignon Blanc","Chris",3,5
"B1","Sauvignon Blanc","Amy",3,5
"B1","Sauvignon Blanc","Rosemary",3,6
"B1","Sauvignon Blanc","Molly",3,6
"B1","Sauvignon Blanc","Dan",4,6
"B1","Sauvignon Blanc","Susan",4,6
"B1","Sauvignon Blanc","Kevin",4,4
"B1","Sauvignon Blanc","Andy",4,6
"B1","Sauvignon Blanc","Jen",4,6
"B1","Sauvignon Blanc","Ben",4,4
"B1","Sauvignon Blanc","Chris",4,6
"B1","Sauvignon Blanc","Amy",4,4
"B1","Sauvignon Blanc","Rosemary",4,6
"B1","Sauvignon Blanc","Molly",4,6
"B1","Sauvignon Blanc","Dan",5,8
"B1","Sauvignon Blanc","Susan",5,9
"B1","Sauvignon Blanc","Kevin",5,4
"B1","Sauvignon Blanc","Andy",5,7
"B1","Sauvignon Blanc","Jen",5,6
"B1","Sauvignon Blanc","Ben",5,2
"B1","Sauvignon Blanc","Chris",5,7
"B1","Sauvignon Blanc","Amy",5,2
"B1","Sauvignon Blanc","Rosemary",5,5
"B1","Sauvignon Blanc","Molly",5,4
"B1","Sauvignon Blanc","Dan",6,2
"B1","Sauvignon Blanc","Susan",6,8
"B1","Sauvignon Blanc","Kevin",6,4
"B1","Sauvignon Blanc","Andy",6,5
"B1","Sauvignon Blanc","Jen",6,5
"B1","Sauvignon Blanc","Ben",6,2
"B1","Sauvignon Blanc","Chris",6,3
"B1","Sauvignon Blanc","Amy",6,3
"B1","Sauvignon Blanc","Rosemary",6,6
"B1","Sauvignon Blanc","Molly",6,6
"B1","Sauvignon Blanc","Dan",7,6
"B1","Sauvignon Blanc","Susan",7,6.5
"B1","Sauvignon Blanc","Kevin",7,7
"B1","Sauvignon Blanc","Andy",7,5
